20240915	13:41:02	9f3bf21e-e9e6-4161-abb3-f8983d885ae4	GET	/api/v1/games	http://localhost:5173
20240915	13:44:12	f8b3c762-8ab4-42bd-a063-f1440fb2715b	GET	/api/v1/games	http://localhost:5173
20240915	13:44:12	f4b36ac0-8d74-4816-8a83-633014ad3c93	GET	/api/v1/games	http://localhost:5173
20240915	13:49:28	08fe9e66-950e-4bc1-90d2-55f7951a048f	GET	/api/v1/games	undefined
20240915	13:49:29	1b558b22-e9b2-4d5c-96a1-267d3c739efb	GET	/uploads/$%7Bgame.imageFileName%7D%60%20//%20Path%20to%20the%20uploaded%20image	undefined
20240915	13:49:29	cfb42f0c-2808-400c-8a99-5868dad2d4fd	GET	/uploads/$%7Bgame.imageFileName%7D%60%20//%20Path%20to%20the%20uploaded%20image	undefined
20240915	13:49:29	3be2db57-4d38-4683-a08c-a5ab2e466fa4	GET	/uploads/$%7Bgame.imageFileName%7D%60%20//%20Path%20to%20the%20uploaded%20image	undefined
20240915	13:49:41	590e1a42-5827-488a-bd74-e2da2dbf7406	GET	/api/v1/games	http://localhost:5173
20240915	13:49:41	c58d529e-86e2-432a-be80-efa83eb2aaf6	GET	/uploads/1726386057713.jpeg	undefined
20240915	13:49:45	41f5ba37-9201-4adc-888d-f58aab43ddfc	GET	/api/v1/games	http://localhost:5173
20240915	13:49:45	a59bc0c7-2ced-4556-9152-3a71a42526b8	GET	/api/v1/games	http://localhost:5173
